Country,Cases,Deaths,Region,timestamp
China,"9,692",213,Asia,20200131025422
Thailand,14,0,Asia,20200131025422
Hong Kong,12,0,Asia,20200131025422
Taiwan,9,0,Asia,20200131025422
Macau,7,0,Asia,20200131025422
Malaysia,8,0,Asia,20200131025422
Singapore,13,0,Asia,20200131025422
Japan,14,0,Asia,20200131025422
Australia,9,0,Oceania,20200131025422
United States,6,0,America,20200131025422
South Korea,6,0,Asia,20200131025422
France,6,0,Europe,20200131025422
Germany,5,0,Europe,20200131025422
Canada,3,0,America,20200131025422
Vietnam,5,0,Asia,20200131025422
Cambodia,1,0,Asia,20200131025422
Nepal,1,0,Asia,20200131025422
United Arab Emirates,4,0,Middle East,20200131025422
Finland,1,0,Europe,20200131025422
Philippines,1,0,Asia,20200131025422
India,1,0,Asia,20200131025422
Italy,2,0,Europe,20200131025422
Sri Lanka,1,0,Asia,20200131025422
