"Country,Territory",Total Cases,Feb 11Cases,TotalDeaths,Feb 11Deaths,TotalRecovered,TotalSevere,Region,timestamp
China,"44,653","+2,015","1,113",+97,"4,740","8,204",Asia,20200212060134
Japan,203,+42,,,4,,Asia,20200212060134
Hong Kong,49,+7,1,,,,Asia,20200212060134
Singapore,47,+2,,,9,7,Asia,20200212060134
Thailand,33,+1,,,10,1,Asia,20200212060134
S. Korea,28,+1,,,4,,Asia,20200212060134
Malaysia,18,,,,3,,Asia,20200212060134
Taiwan,18,,,,1,,Asia,20200212060134
Germany,16,+2,,,,,Europe,20200212060134
Australia,15,,,,5,,Oceania,20200212060134
Vietnam,15,+1,,,6,,Asia,20200212060134
USA,13,+1,,,3,,N.America,20200212060134
France,11,,,,,1,Europe,20200212060134
Macao,10,,,,1,,Asia,20200212060134
U.K.,8,,,,1,,Europe,20200212060134
U.A.E.,8,,,,1,1,Asia,20200212060134
Canada,7,,,,1,,N.America,20200212060134
Philippines,3,,1,,2,,Asia,20200212060134
India,3,,,,,,Asia,20200212060134
Italy,3,,,,,2,Europe,20200212060134
Russia,2,,,,,,Europe,20200212060134
Spain,2,,,,,,Europe,20200212060134
Finland,1,,,,1,,Europe,20200212060134
Cambodia,1,,,,1,,Asia,20200212060134
Nepal,1,,,,,,Asia,20200212060134
Sri Lanka,1,,,,1,,Asia,20200212060134
Sweden,1,,,,,,Europe,20200212060134
Belgium,1,,,,,,Europe,20200212060134
